brand,model,cc,segment,year,speedometer_type,top_speed_kmh,mileage_kmpl,fuel_tank_liters,factory_price_inr,gst_rate_pct,gst_amount_inr,ex_showroom_inr,on_road_price_inr,overall_score,price_increase_scenario_pct,buyer_behaviour,price_sensitivity
Royal Enfield,Continental GT 650,648,premium,2024,Analog,176,20.5,17.9,252672,31.0,78328,331000,380103,68,4.9,Might reconsider,Medium
TVS,Apache RTR 160,159,mid,2025,Semi-Digital,135,44.2,11.9,94531,28.0,26469,121000,140261,67,11.6,Will definitely switch,Very High
Yamaha,R15 V4,155,mid,2023,Digital,129,43.9,12.2,139844,28.0,39156,179000,203523,77,9.1,Will likely switch brand,High
Royal Enfield,Thunderbird 350X,346,premium,2025,Semi-Digital,149,31.6,14.3,142969,28.0,40031,183000,214679,70,4.2,Might reconsider,Medium
Honda,CB200X,184,mid,2024,Digital,135,39.1,12.4,121875,28.0,34125,156000,184031,73,11.1,Will definitely switch,Very High
Honda,SP 125,124,budget,2020,Digital,109,48.6,12.2,80469,28.0,22531,103000,119532,70,1.6,Likely to buy,Low
Honda,CB300R,293,premium,2021,Digital,155,32.6,19.8,215625,28.0,60375,276000,317287,79,7.2,Will likely switch brand,High
TVS,Radeon,109,budget,2024,Analog,86,69.9,9.9,65625,28.0,18375,84000,99867,56,3.1,Might reconsider,Medium
Honda,CD 110 Dream,109,budget,2023,Analog,92,71.6,8.6,65625,28.0,18375,84000,99405,65,6.3,Will definitely switch,Very High
KTM,RC 200,199,mid,2025,Digital,126,46.5,10.3,162500,28.0,45500,208000,240989,84,4.0,Might reconsider,Medium
TVS,Sport,99,budget,2022,Analog,100,73.2,9.4,50000,28.0,14000,64000,75081,58,1.5,Likely to buy,Low
Yamaha,FZ-S V3,149,mid,2021,Semi-Digital,111,56.2,12.6,94531,28.0,26469,121000,140640,68,2.6,Might reconsider,Medium
TVS,Raider 125,124,budget,2025,Digital,114,56.3,11.2,78125,28.0,21875,100000,114876,70,2.7,Might reconsider,Medium
KTM,Duke 200,199,mid,2020,Digital,133,43.0,10.4,167188,28.0,46812,214000,246266,73,9.5,Will likely switch brand,High
Hero,Passion Pro,110,budget,2023,Semi-Digital,90,74.4,9.8,67188,28.0,18812,86000,100400,70,8.3,Will likely switch brand,High
Bajaj,Pulsar 125,124,budget,2020,Semi-Digital,118,54.6,13.4,80469,28.0,22531,103000,120176,62,5.5,Will definitely switch,Very High
Royal Enfield,Bullet 350,346,premium,2022,Analog,157,34.4,14.8,135156,28.0,37844,173000,201391,59,7.4,Will definitely switch,Very High
Honda,Hornet 2.0,184,mid,2021,Digital,137,43.6,12.1,117969,28.0,33031,151000,173609,76,6.8,Will likely switch brand,High
Yamaha,R15M,155,mid,2023,Digital,129,38.3,10.5,159375,28.0,44625,204000,237721,74,13.3,Will definitely switch,Very High
TVS,Sport,99,budget,2025,Analog,88,63.2,9.7,54688,28.0,15312,70000,82260,61,14.3,Will definitely switch,Very High
Yamaha,R15M,155,mid,2021,Digital,135,45.4,11.5,167188,28.0,46812,214000,246758,76,7.4,Will likely switch brand,High
Yamaha,MT-03,321,premium,2020,Digital,165,30.8,15.0,373438,28.0,104562,478000,537556,78,4.7,Might reconsider,Medium
TVS,Apache RR 310,312,premium,2024,Digital,155,31.6,15.6,230469,28.0,64531,295000,340795,74,5.7,Will likely switch brand,High
Royal Enfield,Classic 350,349,premium,2025,Semi-Digital,164,30.0,16.3,161719,28.0,45281,207000,242447,72,1.6,Likely to buy,Low
Royal Enfield,Continental GT 650,648,premium,2024,Analog,162,22.0,15.3,254962,31.0,79038,334000,387712,65,8.0,Will definitely switch,Very High
Honda,SP 125,124,budget,2021,Digital,109,48.6,10.3,81250,28.0,22750,104000,122237,72,13.2,Will definitely switch,Very High
TVS,Jupiter 110,109,budget,2023,Semi-Digital,97,75.9,9.7,60938,28.0,17062,78000,93100,66,9.8,Will definitely switch,Very High
Hero,Super Splendor,125,budget,2025,Semi-Digital,107,61.6,12.8,71875,28.0,20125,92000,107420,69,14.7,Will definitely switch,Very High
Honda,SP 125,124,budget,2023,Digital,106,52.7,10.6,75781,28.0,21219,97000,114303,70,6.0,Will likely switch brand,High
Suzuki,Gixxer,155,mid,2023,Semi-Digital,132,37.8,13.7,103906,28.0,29094,133000,154453,67,10.6,Will definitely switch,Very High
Honda,CB350RS,348,premium,2025,Digital,165,28.2,16.8,164844,28.0,46156,211000,246264,79,13.6,Will definitely switch,Very High
Hero,Mavrick 440,440,premium,2022,Digital,204,24.4,14.4,170229,31.0,52771,223000,257850,79,7.4,Will likely switch brand,High
Royal Enfield,Interceptor 650,648,premium,2025,Analog,204,22.4,15.8,261832,31.0,81168,343000,388279,67,1.3,Likely to buy,Low
Hero,HF Deluxe,97,budget,2021,Analog,100,76.9,9.2,55469,28.0,15531,71000,84015,60,11.9,Will definitely switch,Very High
Royal Enfield,Himalayan 450,452,premium,2025,Digital,203,23.4,17.5,207634,31.0,64366,272000,310304,79,9.8,Will likely switch brand,High
TVS,Ronin,225,mid,2021,Digital,149,28.9,14.4,135156,28.0,37844,173000,196061,69,11.5,Will definitely switch,Very High
Suzuki,Gixxer 250,249,mid,2022,Digital,148,34.5,18.2,153125,28.0,42875,196000,225511,70,14.5,Will definitely switch,Very High
Royal Enfield,Hunter 350,349,premium,2024,Semi-Digital,163,34.8,15.6,135156,28.0,37844,173000,198455,76,14.7,Will definitely switch,Very High
KTM,Duke 125,124,mid,2025,Digital,113,58.3,13.8,125781,28.0,35219,161000,188385,79,6.3,Will likely switch brand,High
Honda,Unicorn,160,mid,2025,Semi-Digital,139,40.3,13.3,92188,28.0,25812,118000,138967,65,10.1,Will definitely switch,Very High
TVS,Apache RR 310,312,premium,2024,Digital,155,30.5,13.9,224219,28.0,62781,287000,322322,70,2.4,Might reconsider,Medium
Yamaha,FZ-S V3,149,mid,2023,Semi-Digital,109,53.9,12.5,99219,28.0,27781,127000,151774,68,10.2,Will definitely switch,Very High
TVS,Apache RTR 160,159,mid,2025,Semi-Digital,123,45.6,11.4,86719,28.0,24281,111000,128806,75,6.1,Will likely switch brand,High
KTM,Duke 125,124,mid,2020,Digital,111,49.6,10.2,132031,28.0,36969,169000,201205,80,10.0,Will likely switch brand,High
Royal Enfield,Bullet 350,346,premium,2021,Analog,157,34.5,15.3,131250,28.0,36750,168000,191504,62,9.2,Will definitely switch,Very High
Honda,CB350RS,348,premium,2020,Digital,157,35.7,17.6,179688,28.0,50312,230000,264650,82,12.2,Will definitely switch,Very High
Hero,Glamour,125,budget,2025,Semi-Digital,110,52.7,11.7,69531,28.0,19469,89000,105880,62,1.7,Likely to buy,Low
Honda,Hornet 2.0,184,mid,2024,Digital,134,42.9,10.2,114062,28.0,31938,146000,171215,77,4.1,Might reconsider,Medium
Suzuki,Access 125,124,budget,2025,Semi-Digital,118,59.6,13.6,67969,28.0,19031,87000,102824,65,2.5,Might reconsider,Medium
Hero,Mavrick 440,440,premium,2022,Digital,200,20.8,15.7,182443,31.0,56557,239000,271594,84,8.7,Will likely switch brand,High
Suzuki,Gixxer,155,mid,2024,Semi-Digital,140,38.1,12.9,102344,28.0,28656,131000,154060,68,13.3,Will definitely switch,Very High
Bajaj,Pulsar N250,249,mid,2022,Digital,163,31.2,17.7,127344,28.0,35656,163000,191926,66,5.4,Will definitely switch,Very High
Royal Enfield,Guerrilla 450,452,premium,2025,Digital,165,23.8,15.6,237405,31.0,73595,311000,359077,83,2.4,Might reconsider,Medium
Honda,CB300R,293,premium,2023,Digital,153,33.3,19.1,212500,28.0,59500,272000,314706,77,13.2,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2020,Digital,124,42.1,11.4,113281,28.0,31719,145000,169819,78,7.8,Will likely switch brand,High
Suzuki,V-Strom SX,249,premium,2025,Digital,164,34.7,16.9,167969,28.0,47031,215000,251434,77,9.6,Will likely switch brand,High
TVS,Raider 125,124,budget,2023,Digital,110,53.0,10.3,68750,28.0,19250,88000,103375,65,8.9,Will definitely switch,Very High
Hero,Glamour,125,budget,2024,Semi-Digital,116,52.9,12.4,69531,28.0,19469,89000,105206,62,11.1,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2023,Digital,133,39.7,11.1,100000,28.0,28000,128000,148404,75,9.5,Will likely switch brand,High
Yamaha,MT-03,321,premium,2021,Digital,156,32.7,15.8,337500,28.0,94500,432000,494175,80,5.3,Will likely switch brand,High
Hero,Xpulse 200,199,mid,2023,Digital,129,44.7,13.0,104688,28.0,29312,134000,153484,73,2.7,Might reconsider,Medium
Bajaj,Platina 110 H-Gear,115,budget,2025,Semi-Digital,116,59.4,10.2,58594,28.0,16406,75000,89481,58,6.6,Will definitely switch,Very High
Hero,Passion Pro,110,budget,2020,Semi-Digital,98,71.2,9.9,61719,28.0,17281,79000,92189,67,2.6,Might reconsider,Medium
Bajaj,Platina 100,102,budget,2023,Analog,88,63.1,9.0,55469,28.0,15531,71000,85229,58,7.1,Will definitely switch,Very High
KTM,Duke 125,124,mid,2022,Digital,108,49.4,11.4,144531,28.0,40469,185000,214377,78,8.1,Will likely switch brand,High
Honda,CB350RS,348,premium,2025,Digital,164,29.3,16.5,164844,28.0,46156,211000,240745,82,2.1,Might reconsider,Medium
Yamaha,Saluto RX,113,budget,2023,Analog,115,52.7,11.8,60156,28.0,16844,77000,93735,52,7.2,Will definitely switch,Very High
TVS,Apache RR 310,312,premium,2022,Digital,154,30.5,13.5,228906,28.0,64094,293000,336527,69,1.8,Likely to buy,Low
Honda,Shine,124,budget,2024,Semi-Digital,106,61.0,12.6,71875,28.0,20125,92000,109107,71,13.7,Will definitely switch,Very High
Royal Enfield,Classic 350,349,premium,2021,Semi-Digital,150,29.0,13.3,154688,28.0,43312,198000,231388,67,8.1,Will likely switch brand,High
KTM,Adventure 390,373,premium,2022,Digital,178,21.3,17.8,296183,31.0,91817,388000,447036,77,6.7,Will likely switch brand,High
Hero,Xtreme 160R,163,mid,2025,Digital,132,42.6,13.9,110156,28.0,30844,141000,162734,72,4.5,Might reconsider,Medium
Honda,CB500X,471,premium,2024,Digital,201,21.0,18.0,431298,31.0,133702,565000,645350,86,6.5,Will likely switch brand,High
Honda,CD 110 Dream,109,budget,2024,Analog,87,72.9,8.7,59375,28.0,16625,76000,89231,67,10.4,Will definitely switch,Very High
Royal Enfield,Scram 411,411,premium,2020,Semi-Digital,168,20.4,16.6,158779,31.0,49221,208000,244206,72,2.1,Might reconsider,Medium
Suzuki,Gixxer 250,249,mid,2021,Digital,159,34.9,14.1,152344,28.0,42656,195000,226869,65,9.4,Will definitely switch,Very High
Bajaj,Platina 100,102,budget,2025,Analog,99,65.6,9.6,54688,28.0,15312,70000,83279,64,5.0,Might reconsider,Medium
Bajaj,Dominar 400,373,premium,2024,Digital,172,24.1,19.9,183969,31.0,57031,241000,278312,75,10.5,Will definitely switch,Very High
Yamaha,FZ-X,149,mid,2022,Digital,111,61.2,10.2,110156,28.0,30844,141000,166031,83,2.9,Might reconsider,Medium
Yamaha,MT-15 V2,155,mid,2022,Digital,129,45.5,11.8,140625,28.0,39375,180000,208275,74,11.7,Will definitely switch,Very High
Yamaha,MT-03,321,premium,2023,Digital,151,34.4,16.5,339062,28.0,94938,434000,500458,70,6.8,Will likely switch brand,High
TVS,Sport,99,budget,2022,Analog,95,77.2,9.8,52344,28.0,14656,67000,78195,56,2.9,Might reconsider,Medium
Yamaha,FZS 25,249,mid,2021,Digital,142,32.9,16.8,132812,28.0,37188,170000,195880,65,4.6,Might reconsider,Medium
Suzuki,Gixxer,155,mid,2023,Semi-Digital,133,37.4,10.3,103906,28.0,29094,133000,154890,68,12.1,Will definitely switch,Very High
Yamaha,R15M,155,mid,2022,Digital,129,44.2,11.0,158594,28.0,44406,203000,230546,73,1.0,Likely to buy,Low
KTM,Duke 390,373,premium,2024,Digital,193,19.7,16.9,224427,31.0,69573,294000,340753,79,8.1,Will likely switch brand,High
Royal Enfield,Interceptor 650,648,premium,2022,Analog,161,20.7,14.7,262595,31.0,81405,344000,388630,68,12.0,Will definitely switch,Very High
Honda,Unicorn,160,mid,2025,Semi-Digital,130,40.5,11.9,93750,28.0,26250,120000,139708,72,3.5,Might reconsider,Medium
Yamaha,MT-15 V2,155,mid,2020,Digital,126,37.3,11.3,135938,28.0,38062,174000,202882,67,12.1,Will definitely switch,Very High
TVS,Ronin,225,mid,2020,Digital,160,28.4,19.1,128906,28.0,36094,165000,194507,67,5.0,Might reconsider,Medium
Royal Enfield,Bullet 350,346,premium,2023,Analog,152,33.9,17.8,132031,28.0,36969,169000,198108,64,14.6,Will definitely switch,Very High
Royal Enfield,Guerrilla 450,452,premium,2021,Digital,187,21.6,16.8,236641,31.0,73359,310000,360484,86,14.9,Will definitely switch,Very High
Royal Enfield,Classic 350,349,premium,2022,Semi-Digital,153,32.8,16.1,142969,28.0,40031,183000,210438,68,10.7,Will definitely switch,Very High
Royal Enfield,Himalayan 450,452,premium,2025,Digital,200,19.8,17.8,221374,31.0,68626,290000,332888,83,6.1,Will likely switch brand,High
Hero,Glamour,125,budget,2023,Semi-Digital,112,50.1,13.8,70312,28.0,19688,90000,105636,68,6.1,Will likely switch brand,High
Hero,Super Splendor,125,budget,2022,Semi-Digital,107,54.3,11.6,71875,28.0,20125,92000,109888,67,2.9,Might reconsider,Medium
TVS,Apache RTR 160,159,mid,2022,Semi-Digital,137,42.2,12.8,89844,28.0,25156,115000,133908,60,4.7,Might reconsider,Medium
Bajaj,Pulsar N250,249,mid,2025,Digital,144,29.7,16.1,139062,28.0,38938,178000,206887,66,7.3,Will definitely switch,Very High
Honda,Shine,124,budget,2022,Semi-Digital,107,53.0,13.4,73438,28.0,20562,94000,114568,67,8.6,Will likely switch brand,High
Bajaj,Platina 110 H-Gear,115,budget,2024,Semi-Digital,112,58.9,12.3,65625,28.0,18375,84000,97976,64,1.4,Likely to buy,Low
Yamaha,FZ-X,149,mid,2023,Digital,117,49.3,13.3,110938,28.0,31062,142000,164844,76,8.4,Will likely switch brand,High
Hero,Mavrick 440,440,premium,2024,Digital,182,23.0,17.5,161832,31.0,50168,212000,242231,77,13.3,Will definitely switch,Very High
Bajaj,Pulsar 125,124,budget,2022,Semi-Digital,109,59.4,13.7,77344,28.0,21656,99000,113623,61,3.3,Might reconsider,Medium
Bajaj,Pulsar RS200,199,mid,2025,Digital,140,39.5,11.2,133594,28.0,37406,171000,201629,75,4.8,Might reconsider,Medium
Suzuki,Gixxer SF,155,mid,2024,Semi-Digital,139,38.5,10.2,106250,28.0,29750,136000,160435,67,5.7,Will likely switch brand,High
Hero,Glamour,125,budget,2023,Semi-Digital,118,57.0,13.6,69531,28.0,19469,89000,106623,67,9.9,Will likely switch brand,High
Suzuki,Gixxer 250,249,mid,2021,Digital,154,31.3,16.1,139844,28.0,39156,179000,212074,64,10.6,Will definitely switch,Very High
Yamaha,MT-15 V2,155,mid,2022,Digital,131,40.2,12.1,132031,28.0,36969,169000,195317,73,2.8,Might reconsider,Medium
Honda,Unicorn,160,mid,2024,Semi-Digital,121,38.4,11.7,87500,28.0,24500,112000,130024,66,14.2,Will definitely switch,Very High
Bajaj,CT100,102,budget,2022,Analog,100,74.4,9.0,49219,28.0,13781,63000,75969,63,7.5,Will definitely switch,Very High
Honda,Shine,124,budget,2024,Semi-Digital,106,56.1,13.5,75000,28.0,21000,96000,113238,59,4.9,Might reconsider,Medium
Yamaha,FZS 25,249,mid,2022,Digital,163,34.9,13.3,124219,28.0,34781,159000,179432,70,11.7,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2024,Digital,134,40.9,12.7,107031,28.0,29969,137000,156954,76,4.9,Might reconsider,Medium
Honda,CB200X,184,mid,2024,Digital,131,42.6,11.6,110156,28.0,30844,141000,161496,71,3.8,Might reconsider,Medium
Hero,Xtreme 125R,125,budget,2021,Digital,109,55.3,11.3,75781,28.0,21219,97000,112788,74,13.5,Will definitely switch,Very High
Royal Enfield,Meteor 350,349,premium,2025,Semi-Digital,156,32.7,16.9,155469,28.0,43531,199000,234943,74,8.5,Will likely switch brand,High
Yamaha,FZS 25,249,mid,2023,Digital,165,32.6,14.9,135156,28.0,37844,173000,200616,75,1.4,Likely to buy,Low
Bajaj,Dominar 400,373,premium,2025,Digital,209,23.2,14.7,190076,31.0,58924,249000,287627,76,3.1,Might reconsider,Medium
Honda,Hornet 2.0,184,mid,2023,Digital,133,43.9,13.5,103906,28.0,29094,133000,154781,77,11.8,Will definitely switch,Very High
Hero,Xpulse 200,199,mid,2023,Digital,132,41.8,13.6,117188,28.0,32812,150000,176007,73,14.4,Will definitely switch,Very High
Royal Enfield,Hunter 350,349,premium,2021,Semi-Digital,162,33.1,19.7,129688,28.0,36312,166000,196416,70,9.5,Will likely switch brand,High
TVS,Apache RTR 160,159,mid,2022,Semi-Digital,126,44.7,12.2,94531,28.0,26469,121000,140972,66,5.4,Will definitely switch,Very High
TVS,Apache RTR 160,159,mid,2025,Semi-Digital,124,45.2,10.3,90625,28.0,25375,116000,136297,69,1.6,Likely to buy,Low
KTM,Adventure 390,373,premium,2024,Digital,195,20.8,18.2,281679,31.0,87321,369000,426406,75,2.9,Might reconsider,Medium
TVS,Sport,99,budget,2023,Analog,88,65.5,8.2,50781,28.0,14219,65000,79195,60,5.6,Will definitely switch,Very High
Honda,CB350 H'ness,348,premium,2022,Digital,155,33.2,15.2,150781,28.0,42219,193000,225731,79,10.1,Will definitely switch,Very High
Hero,Xpulse 200,199,mid,2021,Digital,121,44.4,13.7,120312,28.0,33688,154000,177450,70,6.9,Will likely switch brand,High
Hero,Super Splendor,125,budget,2020,Semi-Digital,105,60.0,13.7,75781,28.0,21219,97000,113356,67,9.0,Will likely switch brand,High
Royal Enfield,Bullet 350,346,premium,2021,Analog,144,35.0,18.7,132031,28.0,36969,169000,200136,73,7.6,Will likely switch brand,High
Royal Enfield,Bullet 350,346,premium,2021,Analog,150,28.3,14.2,129688,28.0,36312,166000,190923,63,8.9,Will definitely switch,Very High
KTM,Duke 200,199,mid,2021,Digital,124,37.9,10.0,164062,28.0,45938,210000,242534,75,5.5,Will likely switch brand,High
Royal Enfield,Interceptor 650,648,premium,2022,Analog,196,22.4,17.8,237405,31.0,73595,311000,363757,63,4.7,Might reconsider,Medium
Hero,Xpulse 200,199,mid,2022,Digital,129,42.0,11.5,116406,28.0,32594,149000,173450,69,9.9,Will likely switch brand,High
Bajaj,Pulsar RS200,199,mid,2025,Digital,137,40.7,13.3,130469,28.0,36531,167000,191255,74,11.6,Will definitely switch,Very High
TVS,Star City Plus,109,budget,2020,Semi-Digital,96,69.1,8.1,65625,28.0,18375,84000,100717,62,13.8,Will definitely switch,Very High
Suzuki,Gixxer SF 250,249,mid,2021,Digital,156,30.7,18.0,162500,28.0,45500,208000,237467,70,2.6,Might reconsider,Medium
Yamaha,R15 V4,155,mid,2024,Digital,133,38.3,11.8,131250,28.0,36750,168000,196484,74,8.9,Will likely switch brand,High
TVS,Ronin,225,mid,2020,Digital,141,32.6,16.8,133594,28.0,37406,171000,198203,70,5.8,Will likely switch brand,High
Hero,Xpulse 200,199,mid,2025,Digital,125,39.9,12.6,121094,28.0,33906,155000,177502,70,11.7,Will definitely switch,Very High
KTM,Duke 390,373,premium,2021,Digital,203,21.3,17.6,232061,31.0,71939,304000,354552,81,13.2,Will definitely switch,Very High
